,day,campaign,source,medium,channelGrouping,dimension3,hostname,landingPagePath,fullReferrer,goal2Completions
0,2023-01-31,CPC_S_CMA_Apoyo_Ubicaciones,google,cpc,Paid Search,678939627.1675199,www.tuclinicavitaldent.com,/,google,1
1,2023-01-31,CPC_S_CMA_Testing,google,cpc,Paid Search,1079903755.1675148,www.tuclinicavitaldent.com,/?kw=implantes dentales precios&source=Google&medium=CPC&campaign=Primera_cita&term=Primera_cita&proveedor=Celon&marca=Vitaldent,google,1
2,2023-01-31,CPC_S_CMA_Testing,google,cpc,Paid Search,1486261361.1675189,www.tuclinicavitaldent.com,/?kw=implantes dentales para personas mayores&source=Google&medium=CPC&campaign=Primera_cita&term=Primera_cita&proveedor=Celon&marca=Vitaldent,google,1
3,2023-01-31,CPC_S_CMA_Testing,google,cpc,Paid Search,190517664.1675181,www.tuclinicavitaldent.com,/,google,1
4,2023-01-31,CPC_S_CMA_Testing,google,cpc,Paid Search,190517664.1675181,www.tuclinicavitaldent.com,/default/Confirmacion,google,1
5,2023-01-31,CPC_S_CMA_Testing,google,cpc,Paid Search,2022158166.1675131,www.tuclinicavitaldent.com,/?kw=implantes dentales precio&source=Google&medium=CPC&campaign=Primera_cita&term=Primera_cita&proveedor=Celon&marca=Vitaldent,google,1
6,2023-01-31,CPC_S_CMA_Testing,google,cpc,Paid Search,707941063.1675193,www.tuclinicavitaldent.com,/?kw=implantes dentales para personas mayores&source=Google&medium=CPC&campaign=Primera_cita&term=Primera_cita&proveedor=Celon&marca=Vitaldent,google,1
7,2023-01-31,vodafone:promo-vodafone,vodafone,afiliacion,(Other),1048304409.1675175,www.tuclinicavitaldent.com,/vodafone/index,vodafone,1
8,2023-01-31,vodafone:promo-vodafone,vodafone,afiliacion,(Other),1131810295.1675158,www.tuclinicavitaldent.com,/vodafone/index,vodafone,1
9,2023-01-31,vodafone:promo-vodafone,vodafone,afiliacion,(Other),594050318.1675149,www.tuclinicavitaldent.com,/vodafone/index,vodafone,1
10,2023-01-31,vodafone:promo-vodafone,vodafone,afiliacion,(Other),898362560.1675154,www.tuclinicavitaldent.com,/vodafone/index,vodafone,1
